ID,x,y,dem,cost,accessibility
1,-75.4143498953762,-11.6838022335756,4362,1.79087030887604,less accessible
2,-75.4435707547775,-11.732730184201,3453,0.104742810130119,more accessible
3,-75.3932836944124,-11.7130230929769,4066,1.7494603395462,less accessible
4,-75.3606650606622,-11.6933160017528,4488,2.76130747795105,less accessible
5,-75.3606650606622,-11.6688520264401,4353,3.00616192817688,less accessible
6,-75.4000792431104,-11.6987524407111,4203,1.71045506000519,less accessible
7,-75.3572672863132,-11.6640951423515,4419,3.13523030281067,less accessible
8,-75.3783334872769,-11.6640951423515,4381,2.70558071136475,less accessible
9,-75.3572672863132,-11.7035093247997,4198,2.76188325881958,less accessible
10,-75.4401729804285,-11.7374870682896,3557,0.176001414656639,more accessible
11,-75.4293001025117,-11.7035093247997,4042,1.12609732151031,more accessible
12,-75.3572672863132,-11.6933160017528,4471,2.84363317489624,less accessible
13,-75.4075543466782,-11.6987524407111,4320,1.52827680110931,less accessible
14,-75.3389193048287,-11.6736089105286,4448,3.4800591468811,less accessible
15,-75.3572672863132,-11.6688520264401,4455,3.09039068222046,less accessible
16,-75.3858085908447,-11.7082662088883,4099,1.99171090126038,less accessible
17,-75.4252227732929,-11.7035093247997,3978,1.17517566680908,more accessible
18,-75.3531899570944,-11.6987524407111,4256,2.90741753578186,less accessible
19,-75.3749357129279,-11.6688520264401,4538,2.65802836418152,less accessible
20,-75.4034770174594,-11.6688520264401,4390,2.27054381370544,less accessible
21,-75.418427224595,-11.7177799770655,3886,1.01577007770538,more accessible
22,-75.4578414070432,-11.7422439523782,3410,0.500889360904694,more accessible
23,-75.4435707547775,-11.7374870682896,3445,0.0830699801445007,more accessible
24,-75.4000792431104,-11.7279733001124,3876,1.38905358314514,more accessible
25,-75.4293001025117,-11.7374870682896,3843,0.496420949697495,more accessible
26,-75.3966814687614,-11.6933160017528,4369,1.85340332984924,less accessible
27,-75.4360956512097,-11.7279733001124,3527,0.376360982656479,more accessible
28,-75.4000792431104,-11.6640951423515,4396,2.42372679710388,less accessible
29,-75.4578414070432,-11.7374870682896,3560,0.426484346389771,more accessible
30,-75.3749357129279,-11.7177799770655,4217,2.16528367996216,less accessible
31,-75.4000792431104,-11.6491449352159,4520,2.7851095199585,less accessible
32,-75.3783334872769,-11.6885591176642,4146,2.36304306983948,less accessible
33,-75.3783334872769,-11.6688520264401,4432,2.59154605865479,less accessible
34,-75.46871428496,-11.7476803913366,3387,0.902385890483856,more accessible
35,-75.4000792431104,-11.6838022335756,4415,1.96255099773407,less accessible
36,-75.3858085908447,-11.732730184201,4168,1.73270153999329,less accessible
37,-75.4218249989439,-11.7232164160239,3731,0.858277857303619,more accessible
38,-75.4252227732929,-11.7130230929769,3781,0.92181658744812,more accessible
39,-75.4503663034754,-11.7279733001124,3608,0.305513918399811,more accessible
40,-75.3932836944124,-11.6987524407111,4337,1.88159549236298,less accessible
41,-75.3674606093602,-11.6640951423515,4507,2.8815712928772,less accessible
42,-75.418427224595,-11.732730184201,3854,0.817403018474579,more accessible
43,-75.4143498953762,-11.7082662088883,4096,1.23665237426758,more accessible
44,-75.3892063651937,-11.7232164160239,3916,1.7439581155777,less accessible
45,-75.4075543466782,-11.7082662088883,4018,1.41471576690674,more accessible
46,-75.4109521210272,-11.7279733001124,3696,1.08879137039185,more accessible
47,-75.3892063651937,-11.6838022335756,4303,2.13814353942871,less accessible
48,-75.4469685291264,-11.7374870682896,3434,0.0920745432376862,more accessible
49,-75.4000792431104,-11.732730184201,3963,1.34770512580872,more accessible
50,-75.4218249989439,-11.732730184201,3818,0.722287058830261,more accessible
51,-75.4143498953762,-11.7177799770655,3861,1.13046944141388,more accessible
52,-75.4293001025117,-11.732730184201,3610,0.511159002780914,more accessible
53,-75.4075543466782,-11.7035093247997,4260,1.46418559551239,more accessible
54,-75.4000792431104,-11.7232164160239,3680,1.45835912227631,more accessible
55,-75.46871428496,-11.7524372754251,3384,0.98748791217804,more accessible
56,-75.4544436326942,-11.7374870682896,3515,0.326260626316071,more accessible
57,-75.4435707547775,-11.7232164160239,3818,0.394684910774231,more accessible
58,-75.4143498953762,-11.6640951423515,4519,2.27192401885986,less accessible
59,-75.4143498953762,-11.6933160017528,4139,1.56143200397491,less accessible
60,-75.4109521210272,-11.6736089105286,4512,2.07648754119873,less accessible
